device_id,device_serial_number,reading,time
64,422686779-3,109,14:36:17.000
43,316581185-7,111,13:45:13.000
74,670817847-8,122,13:48:13.000
59,862822451-3,188,13:37:48.000
68,116239734-9,146,14:17:19.000
7,246577950-8,36,14:10:00.000
32,218492168-8,180,14:40:23.000
88,605670932-9,16,13:34:44.000
79,638949033-X,92,13:28:44.000
37,147548014-8,98,14:34:12.000
76,721021613-8,185,13:16:02.000
34,008922781-6,39,14:49:52.000
57,216153992-2,71,14:32:38.000
64,668305531-9,81,14:47:01.000
21,230622754-3,118,13:07:36.000
64,998927859-8,44,13:13:29.000
96,391533665-3,183,14:12:26.000
12,803694861-3,156,14:31:11.000
44,893623322-X,0,13:15:43.000
10,653256264-5,26,14:57:12.000
45,421465787-X,82,13:55:39.000
61,241809415-4,101,14:36:54.000
28,060963769-X,167,13:08:26.000
40,322668464-7,152,13:13:46.000
59,945838616-0,139,14:38:57.000
48,498877711-1,86,13:23:40.000
92,940533401-8,83,13:07:01.000
2,986680729-0,44,14:51:15.000
18,978923176-8,158,14:11:05.000
16,924416063-3,28,14:53:30.000
5,913424349-6,109,13:14:41.000
9,601669078-3,167,13:35:14.000
40,934615785-2,152,13:12:06.000
21,988548156-7,97,14:51:53.000
11,333303837-4,149,13:38:42.000
10,928386580-4,87,14:53:19.000
99,214385549-4,61,13:07:27.000
36,569075368-8,130,13:44:41.000
87,155999715-X,166,14:11:20.000
90,233565075-0,69,13:30:15.000
6,135259892-2,181,13:51:05.000
41,235007494-3,176,14:15:11.000
53,193222308-8,6,14:11:29.000
6,424309451-9,135,14:15:09.000
35,490408026-2,108,14:02:25.000
48,360479487-0,152,13:54:58.000
93,807612711-4,178,13:50:20.000
98,421506676-X,77,13:09:06.000
83,924653061-6,107,14:47:13.000
89,283508923-3,152,13:45:58.000
59,453191926-2,156,13:16:44.000
36,899345663-1,150,14:28:52.000
25,309959061-4,196,13:05:29.000
89,535483921-1,194,13:18:40.000
25,385349326-2,178,13:26:10.000
80,451245188-9,41,14:26:50.000
36,186192147-0,152,13:01:34.000
41,075830410-2,79,14:33:37.000
89,942750303-3,78,14:03:18.000
51,058655376-2,73,13:21:22.000
55,351168147-2,162,14:11:01.000
92,956256541-6,95,14:10:17.000
7,023131359-4,113,13:59:54.000
68,042002977-X,19,14:56:39.000
28,775213419-8,148,13:51:08.000
4,799573456-5,70,14:10:52.000
98,038035403-9,19,14:11:51.000
71,035890274-6,55,14:39:23.000
10,993171772-6,165,13:49:17.000
26,579147405-9,82,13:48:43.000
39,726611159-5,74,14:23:21.000
9,280636724-7,193,13:07:11.000
14,691214778-X,136,14:00:43.000
11,274269485-4,124,14:07:20.000
51,254850039-X,23,13:40:18.000
47,620642895-8,78,14:41:26.000
18,645329655-1,138,14:14:22.000
42,492904437-5,200,13:52:20.000
75,519344513-6,0,13:59:39.000
33,959563224-4,182,13:06:58.000
54,139139970-6,116,14:55:50.000
98,701157579-0,16,14:22:55.000
24,581446233-7,28,13:32:17.000
49,456938017-4,0,13:26:16.000
33,215288307-1,22,14:02:43.000
94,457487997-1,63,14:08:31.000
23,160609324-X,55,14:50:26.000
40,474189605-6,161,13:53:16.000
10,721057696-7,30,14:10:07.000
77,840740721-6,180,13:16:37.000
96,075470494-7,63,13:27:26.000
59,917744991-6,128,14:38:08.000
51,329681456-6,73,13:54:22.000
62,414504473-8,79,14:09:49.000
2,060801833-3,167,13:37:49.000
88,658018741-7,168,14:35:20.000
10,314393734-3,79,14:47:35.000
3,550391313-2,57,13:50:56.000
17,234204196-9,31,14:42:30.000
67,531375452-1,124,14:41:11.000
2,736374067-4,30,14:38:45.000
48,099961099-6,25,14:37:47.000
45,796998999-3,4,14:49:10.000
6,817094126-1,132,14:35:54.000
17,501216493-8,43,13:15:47.000
86,281064336-9,87,14:54:52.000
8,238918081-7,4,14:50:42.000
24,772898814-X,145,14:07:58.000
75,722174292-8,125,13:30:29.000
75,453074397-7,176,13:31:23.000
59,016334411-6,33,14:02:38.000
59,553049886-8,115,13:56:52.000
46,061884535-6,4,14:17:21.000
63,043970919-9,111,13:04:52.000
37,090199545-2,199,13:03:48.000
88,411033499-3,185,13:48:44.000
17,568634935-5,156,13:02:13.000
51,593805093-6,127,13:36:52.000
37,060972756-7,146,14:03:36.000
97,616435162-6,196,14:51:29.000
85,896676333-2,176,14:09:59.000
52,449569924-5,103,14:40:41.000
16,200888093-1,69,14:38:59.000
77,204374305-8,144,14:56:01.000
21,497420826-8,91,14:53:16.000
63,087935406-2,152,14:03:54.000
29,213245618-6,167,13:53:32.000
16,047563912-X,195,14:58:28.000
80,154636328-9,75,13:55:16.000
19,432105407-9,180,14:52:22.000
79,812386444-2,24,13:38:12.000
83,966392084-X,107,14:25:21.000
47,184720892-4,34,13:11:14.000
26,789024725-7,186,14:58:42.000
65,887899509-6,21,14:24:22.000
52,251650176-5,179,14:34:05.000
80,652258238-4,21,14:45:17.000
71,302357018-3,162,13:05:19.000
15,980481713-6,173,13:16:10.000
91,640467093-3,185,14:12:30.000
61,797890161-0,10,13:02:32.000
11,030472302-9,39,13:02:04.000
18,351870585-7,93,13:17:06.000
85,216491455-4,24,13:53:59.000
8,043684759-0,77,13:40:09.000
97,184338079-X,50,13:46:33.000
21,415020340-7,9,13:14:52.000
27,357316709-8,185,14:41:17.000
22,504120397-0,111,13:51:28.000
59,704896043-4,197,14:18:29.000
27,677353797-5,9,14:04:01.000
93,258707279-4,170,14:05:12.000
67,228176454-0,5,14:05:07.000
21,728205314-6,49,14:03:31.000
10,644043313-X,3,14:53:57.000
78,163273232-7,186,13:42:49.000
60,093380329-X,196,13:55:57.000
63,100191503-8,41,14:07:31.000
89,016466232-4,150,14:18:26.000
81,801274569-0,126,14:46:38.000
96,386454992-2,114,14:03:28.000
87,335618373-7,35,14:39:44.000
87,259402308-6,6,13:53:40.000
28,439072102-X,97,13:47:57.000
11,856542814-1,72,14:12:12.000
22,797434317-6,82,13:20:17.000
67,872048071-7,97,13:31:34.000
87,075471224-9,3,14:01:28.000
80,378854522-4,126,13:15:33.000
19,428641991-6,124,13:30:06.000
64,389808246-6,30,14:42:11.000
19,128376081-9,67,14:23:40.000
10,539685558-4,198,13:05:51.000
63,633188179-4,34,13:23:34.000
73,398820009-3,81,13:42:48.000
81,136608549-3,30,14:27:25.000
78,317122398-8,149,13:11:54.000
34,828158603-6,136,14:07:51.000
90,453111738-7,65,14:09:27.000
18,134631074-2,162,14:44:02.000
95,078861269-7,2,14:29:40.000
6,899264952-5,187,14:11:23.000
55,760378593-6,121,13:45:13.000
49,959955836-7,199,13:09:02.000
39,592519374-1,179,13:32:05.000
41,695701268-9,78,14:31:46.000
76,026251005-7,93,13:42:32.000
59,829918095-3,166,14:32:19.000
75,214105876-7,164,13:29:35.000
12,134227360-5,47,13:27:46.000
22,936460365-6,56,13:24:01.000
41,835658584-8,154,14:42:03.000
22,135060231-0,145,14:55:38.000
35,298660560-5,188,14:12:20.000
9,434470929-2,110,13:04:04.000
7,608868743-6,16,14:19:47.000
45,928205567-1,78,14:24:13.000
38,366815038-9,141,14:34:10.000
9,807723268-X,98,13:54:51.000
29,652103890-7,195,14:57:51.000
32,435358521-5,167,14:28:48.000
92,886126596-0,172,14:47:49.000
46,832052243-9,190,13:54:33.000
7,200796079-6,195,14:49:00.000
59,141401142-3,53,14:51:05.000
99,825598978-1,117,14:29:15.000
73,265856440-6,136,13:36:01.000
52,135185084-9,194,14:19:38.000
20,388817198-9,39,13:10:11.000
60,789072561-2,51,13:42:16.000
57,065952014-1,181,14:35:07.000
3,838882861-4,24,13:17:35.000
57,737066967-X,6,14:22:41.000
75,166857827-1,194,13:56:42.000
47,411487673-1,149,14:37:49.000
59,103320083-2,127,14:29:55.000
39,272489417-0,173,13:50:20.000
42,857009520-1,78,14:18:25.000
72,458086401-8,43,13:09:55.000
35,730492405-5,28,14:24:55.000
44,354490497-7,199,14:51:14.000
38,110724266-5,188,14:41:03.000
55,779863894-6,91,14:31:31.000
84,509165977-3,24,13:06:19.000
35,064842735-8,145,14:07:03.000
64,439672055-6,168,14:32:29.000
69,091630272-5,174,14:27:55.000
59,863494860-9,131,14:51:02.000
60,915395695-8,69,13:37:35.000
76,663294237-7,126,14:26:56.000
66,146441739-3,85,14:27:38.000
68,060722811-3,72,13:35:21.000
40,734361180-1,114,13:29:27.000
11,269147031-8,15,13:41:46.000
95,088022314-6,129,14:08:43.000
74,214738237-X,154,13:06:23.000
18,978374407-0,69,13:45:55.000
72,267523822-8,76,13:23:47.000
44,023291764-7,59,13:07:14.000
8,097066150-9,142,13:14:46.000
82,938824342-0,130,14:44:50.000
32,398657934-6,46,13:19:58.000
58,465182305-X,115,14:45:16.000
51,722958813-8,117,13:43:48.000
8,416045392-9,54,13:40:44.000
71,909541716-6,145,14:23:56.000
80,156069753-9,127,14:51:53.000
84,601087407-6,120,14:48:47.000
85,627951090-5,89,14:13:45.000
17,383042855-3,78,13:15:39.000
39,322673323-0,90,14:42:48.000
13,865847896-3,164,14:23:44.000
32,970633518-8,58,13:35:38.000
78,481004385-1,94,13:18:06.000
52,524891750-6,167,14:56:12.000
37,241762807-4,166,13:18:14.000
78,277495885-7,189,14:18:41.000
53,293259912-7,173,14:31:39.000
25,319600966-1,54,14:17:42.000
25,601706064-3,183,13:33:07.000
93,649800554-8,83,13:34:46.000
95,533381010-9,134,13:07:22.000
12,651705226-7,93,14:00:09.000
12,547424070-8,13,13:38:25.000
65,947106841-X,59,14:58:37.000
70,649043804-6,84,14:33:37.000
69,834689456-2,148,13:03:44.000
26,640331234-0,27,14:17:31.000
45,951345537-8,103,13:44:50.000
9,423006171-4,12,14:03:28.000
90,862909719-1,165,14:41:08.000
94,353178876-0,99,13:32:14.000
9,764495659-X,168,13:56:22.000
19,463983255-9,5,13:02:35.000
92,784104494-1,147,14:12:18.000
17,426845222-2,165,14:26:04.000
40,333857962-4,101,14:53:58.000
25,168868314-3,67,13:07:11.000
48,631355208-3,27,14:54:42.000
69,836497649-4,132,13:50:26.000
86,611124043-9,183,13:04:59.000
11,564295797-X,41,13:11:07.000
3,871129873-1,51,14:46:46.000
45,390121908-0,156,13:49:53.000
8,779255570-4,157,14:45:05.000
86,948495717-X,108,14:52:54.000
52,058565246-5,132,13:02:35.000
43,018775478-0,51,14:49:25.000
53,252322847-5,149,13:34:41.000
51,316126189-5,149,13:41:31.000
81,855909025-8,135,13:43:10.000
53,469457240-7,3,14:43:57.000
90,794220361-1,94,14:22:33.000
54,649469868-9,139,14:17:01.000
35,125398596-0,28,13:24:26.000
53,873983701-7,163,13:59:09.000
10,900918208-8,198,14:43:45.000
25,428429370-2,55,14:47:59.000
20,852575089-1,2,13:58:34.000
36,477286548-9,172,14:40:37.000
68,106662172-1,128,14:05:48.000
47,116961975-4,127,13:51:58.000
86,980273443-8,145,13:35:00.000
40,065433759-4,124,14:43:24.000
47,477057386-3,26,13:36:04.000
83,614282891-8,158,14:22:20.000
40,055355417-4,17,14:33:25.000
46,308563611-0,66,14:16:56.000
28,393827516-2,198,14:50:44.000
63,148249719-0,95,14:25:17.000
57,466882729-0,18,14:34:13.000
29,586822018-8,128,13:58:56.000
27,718756171-7,92,13:50:37.000
74,758056869-1,19,13:51:31.000
17,185840272-7,136,14:33:41.000
3,603676276-3,110,13:02:23.000
20,484852860-7,67,13:48:27.000
86,583749511-8,26,13:08:21.000
80,895204517-3,139,14:57:11.000
100,343467259-1,75,14:57:18.000
38,974716158-3,155,14:26:10.000
30,013253585-8,35,13:10:10.000
43,511428156-9,54,14:08:27.000
27,984310177-4,60,13:54:20.000
34,338443414-5,75,13:46:30.000
36,908480217-9,60,13:11:25.000
73,016933756-1,56,14:08:57.000
69,383570668-3,189,14:33:41.000
60,422701245-7,119,14:13:53.000
51,327748911-6,59,14:27:29.000
43,609720224-5,188,14:50:08.000
19,875377119-2,168,14:05:48.000
58,056138041-4,112,14:31:42.000
52,795891614-0,45,14:41:05.000
82,848311637-5,197,14:37:30.000
14,884263167-1,25,13:41:43.000
61,135013575-5,75,14:34:24.000
5,842345346-4,42,14:09:14.000
62,871746331-9,170,14:11:29.000
41,463932843-5,20,14:50:19.000
98,426309681-9,7,14:15:14.000
73,195548161-X,42,13:06:40.000
10,686330478-3,69,14:33:32.000
49,740736849-X,16,14:57:10.000
54,077239797-X,108,13:15:25.000
61,622755636-X,104,14:50:59.000
71,638475533-5,41,14:39:48.000
58,690168158-5,89,14:47:05.000
44,455268287-3,131,14:01:32.000
35,814136159-7,114,14:22:41.000
25,263682556-8,177,14:28:15.000
91,494647244-4,172,14:41:22.000
50,367022486-6,175,13:45:47.000
38,590255487-X,128,14:10:29.000
91,461947440-1,42,13:53:00.000
30,237515667-6,168,13:18:09.000
17,874318331-X,39,14:52:31.000
17,634952327-X,126,13:54:39.000
36,485915871-7,46,13:15:53.000
26,505619668-1,64,13:27:06.000
77,681281902-6,118,13:23:44.000
41,196269196-9,190,14:38:58.000
49,154534871-5,94,14:44:37.000
88,683283617-1,61,13:21:27.000
53,327349920-6,99,13:47:25.000
27,061285588-0,37,14:00:37.000
80,141918415-6,131,14:27:51.000
5,985758499-3,47,13:17:22.000
12,023720662-5,8,14:14:56.000
85,717792344-6,107,13:35:50.000
92,224328489-8,62,14:43:09.000
13,495983427-7,62,13:32:34.000
51,163559418-9,29,13:23:00.000
21,775467015-1,183,13:14:17.000
99,143242785-7,126,14:12:02.000
87,160462639-9,165,14:42:05.000
59,844490345-0,174,14:21:29.000
61,600357689-8,31,14:10:39.000
14,668250720-8,22,13:18:18.000
22,860050327-2,59,13:59:25.000
69,095132094-7,60,13:49:27.000
89,208397813-7,51,13:04:18.000
21,586638311-X,162,13:56:01.000
50,656826978-6,71,14:35:13.000
71,664076870-4,157,13:20:47.000
11,095146003-X,132,14:53:48.000
93,780189306-9,80,13:16:24.000
1,206810561-6,1,14:54:18.000
8,124033109-6,188,13:40:26.000
48,021599957-6,146,13:55:19.000
68,422173209-1,82,14:02:31.000
42,196456931-1,21,13:31:08.000
69,288455623-0,103,13:34:24.000
36,805353929-7,129,13:11:11.000
93,513918570-9,118,13:16:12.000
69,689397972-X,166,13:11:21.000
71,820741411-1,67,14:54:19.000
21,705521436-X,166,13:04:23.000
19,374441180-X,155,13:43:55.000
33,157601746-X,44,13:13:16.000
98,697683634-9,170,13:23:15.000
91,604523979-2,30,13:21:50.000
44,400927329-1,177,14:32:01.000
1,140755134-5,60,13:27:15.000
30,455364303-0,90,13:14:34.000
65,606967340-9,139,13:34:36.000
39,021556641-6,190,13:32:09.000
78,383198839-0,73,13:21:45.000
49,289536736-1,25,14:32:08.000
36,235199330-6,43,14:54:39.000
26,031434502-7,125,14:58:55.000
9,892405343-4,191,13:00:10.000
36,636185684-4,49,13:11:09.000
23,575291198-2,166,13:56:47.000
43,615471612-5,55,13:58:25.000
83,069546556-2,143,14:16:00.000
23,838765137-0,16,14:38:53.000
15,033424015-8,161,14:44:52.000
77,972606188-1,152,13:58:44.000
80,411800057-1,44,13:52:58.000
75,469232939-4,178,14:26:19.000
31,167909018-6,56,14:09:42.000
28,436923535-9,143,13:08:13.000
51,343092160-0,140,14:18:28.000
75,424841883-5,87,14:47:50.000
64,102572614-6,136,14:03:20.000
11,155167858-6,98,13:07:58.000
84,669946053-6,128,14:57:21.000
14,677414199-4,15,13:12:01.000
26,362559077-8,89,13:07:22.000
83,993502533-0,137,14:17:35.000
88,220471627-8,63,13:15:57.000
31,382628906-4,38,14:06:19.000
89,270404700-6,91,14:55:36.000
55,460238770-5,184,13:22:18.000
21,497203973-6,78,14:46:10.000
10,690492459-4,110,14:35:06.000
99,281480420-0,117,14:15:02.000
57,702104199-3,136,13:27:16.000
99,267769352-6,36,14:46:27.000
89,788780270-9,77,14:25:13.000
48,606520392-0,130,14:37:09.000
39,806403236-9,29,13:20:33.000
75,171600049-1,120,13:39:03.000
12,326862869-9,102,14:09:41.000
49,151047734-9,62,13:31:41.000
18,161376160-0,8,13:39:48.000
79,793841821-8,68,14:11:46.000
81,375545068-2,103,13:11:27.000
64,519307087-6,45,13:19:56.000
30,303180504-6,173,14:54:31.000
18,402393047-4,2,13:45:41.000
40,534119041-6,83,13:59:56.000
24,236126601-6,117,14:26:01.000
53,180805065-7,196,13:36:36.000
24,532254977-3,72,13:04:56.000
44,628696409-6,120,13:59:14.000
49,268819178-0,136,14:48:29.000
100,656646551-0,179,14:23:21.000
35,576130677-8,110,14:52:11.000
54,150410253-3,22,13:49:52.000
43,211749454-4,94,14:11:03.000
41,530368337-0,67,13:26:20.000
94,708128059-5,15,13:56:27.000
99,480441326-X,179,14:50:07.000
27,811282815-6,39,13:42:53.000
28,650936809-9,159,14:02:36.000
73,987879888-7,9,14:24:31.000
98,625135906-4,28,13:13:32.000
24,451869763-4,31,14:03:21.000
27,624033384-0,164,14:05:25.000
40,892352306-2,70,13:01:13.000
7,159753757-8,129,13:16:00.000
66,358613345-6,12,14:39:22.000
11,817161266-0,36,13:55:28.000
7,444231426-8,197,13:31:02.000
45,236936728-8,180,13:05:23.000
30,581285747-4,163,13:28:49.000
74,262238128-X,165,14:07:01.000
12,420361737-5,167,13:23:35.000
27,854711567-6,86,14:47:35.000
42,864735245-9,157,13:59:04.000
89,207396649-7,26,14:42:01.000
41,710208503-6,128,14:03:27.000
5,877378576-8,47,13:48:27.000
14,173524663-8,47,13:59:51.000
45,898894036-9,4,13:00:28.000
71,918807700-4,153,14:39:16.000
74,387489020-1,9,13:01:14.000
13,846892921-2,200,13:45:09.000
78,480294216-8,31,13:38:24.000
88,164484254-8,199,13:05:22.000
89,651927214-0,176,14:20:39.000
55,663083581-6,187,14:19:44.000
66,619951761-X,67,13:27:10.000
39,117905569-1,2,13:04:50.000
31,211030567-3,16,13:35:57.000
46,602040810-8,139,13:37:28.000
7,243212863-X,7,14:17:11.000
75,496695709-5,8,14:04:25.000
32,170634765-0,10,14:32:18.000
49,425409596-1,92,14:53:57.000
99,518962866-3,127,14:32:15.000
91,982937189-1,140,13:29:55.000
44,968017809-9,183,14:27:33.000
13,926626422-9,51,14:23:16.000
92,978710016-X,46,14:30:02.000
31,257000634-3,126,13:37:55.000
66,041122843-9,114,13:16:20.000
79,504920392-9,54,13:32:07.000
95,461556069-9,64,14:34:56.000
60,074716774-5,29,13:30:19.000
21,319289540-3,33,13:21:22.000
55,150007610-4,99,14:23:49.000
23,546339187-4,6,14:56:47.000
38,584228881-8,153,14:57:49.000
35,598420903-9,91,13:08:25.000
23,736866899-8,131,14:15:11.000
84,622915132-4,86,13:40:34.000
92,389633334-8,195,13:18:59.000
100,753116924-X,95,14:33:31.000
46,649657271-2,146,14:18:16.000
15,712684611-8,96,14:33:31.000
6,109588566-9,141,13:00:03.000
60,723675258-4,80,14:15:04.000
29,052706765-2,119,14:07:53.000
43,747176586-0,102,13:33:25.000
56,753790576-2,148,14:38:44.000
91,838708995-8,112,14:43:59.000
41,539199891-3,68,13:36:15.000
93,697077279-9,172,13:57:07.000
49,920417245-2,37,14:58:32.000
44,810154846-7,140,13:41:14.000
67,746031041-7,7,13:26:12.000
75,894252938-0,64,14:17:51.000
79,298005918-8,102,13:30:13.000
98,808221164-4,163,13:30:33.000
70,057263813-2,23,14:27:20.000
44,224742333-7,37,14:06:54.000
78,480270502-6,26,14:23:15.000
70,786870218-4,171,14:35:34.000
15,189941132-1,154,13:56:10.000
2,181611557-6,18,13:06:16.000
72,713855338-2,198,13:29:52.000
83,507952401-4,120,13:04:49.000
52,943651925-7,143,13:09:07.000
30,537386797-7,33,14:02:43.000
44,159189749-1,74,14:22:49.000
98,961376509-3,159,14:47:35.000
80,530763304-1,48,14:27:36.000
82,445873881-X,8,14:12:52.000
19,420680366-8,41,14:28:12.000
49,887558315-3,81,13:41:07.000
5,038694662-0,192,14:28:48.000
22,609477051-X,39,13:02:16.000
61,523928672-8,177,13:08:56.000
67,037948311-4,157,13:37:30.000
47,884911720-5,167,13:57:11.000
30,180053411-6,130,14:26:48.000
47,063325012-0,138,13:55:05.000
47,615464866-9,33,13:32:21.000
58,758243418-8,74,14:07:54.000
7,256292985-3,11,13:14:58.000
42,956186186-0,90,14:37:46.000
22,871555560-7,37,13:14:32.000
92,163692559-6,196,13:02:19.000
39,256917835-7,50,13:24:40.000
27,298542328-7,126,13:36:54.000
5,940389651-5,4,13:27:28.000
52,439136938-9,183,13:49:29.000
98,278299676-2,119,13:12:28.000
29,462848310-8,169,13:45:18.000
7,185246491-7,153,13:57:56.000
96,313376077-7,148,14:36:01.000
24,616489731-9,100,14:55:31.000
37,332800047-X,166,13:06:16.000
86,806109344-8,72,13:10:20.000
59,447800812-4,63,14:22:18.000
93,897791837-5,140,14:30:39.000
57,628589789-1,0,13:24:24.000
61,489540319-X,160,14:54:10.000
32,052318159-0,126,14:02:27.000
81,567736462-2,194,13:00:47.000
73,723478538-8,48,14:02:02.000
51,938606852-4,95,14:58:54.000
81,336417468-7,60,14:19:39.000
86,617949968-3,55,14:52:55.000
51,063102484-0,193,13:11:26.000
69,619020780-4,99,13:12:38.000
73,459080566-9,113,13:56:35.000
99,300779823-X,175,13:10:34.000
85,433578806-1,110,13:22:25.000
34,478771677-8,62,14:15:54.000
96,932371969-2,21,14:20:35.000
69,215469816-6,78,14:09:58.000
20,720179837-5,113,14:55:48.000
10,301194047-9,186,14:51:23.000
59,226542975-9,124,13:38:49.000
80,344994283-2,185,14:23:41.000
92,888852638-2,47,14:16:55.000
9,199243151-5,53,13:45:39.000
72,763023009-5,168,13:40:12.000
63,425192641-2,37,13:13:20.000
51,965966601-2,72,13:13:04.000
15,934738734-7,25,13:49:55.000
49,967414525-7,164,13:09:45.000
95,594412705-8,164,13:58:30.000
5,034594422-4,48,13:29:23.000
59,533776055-6,103,13:58:01.000
11,208532776-1,47,14:15:24.000
41,304868336-4,59,14:23:27.000
86,883207366-8,58,14:04:49.000
75,558751120-0,67,13:00:08.000
10,434799209-2,166,14:37:39.000
88,947569714-4,155,14:16:46.000
7,353842375-X,39,14:27:54.000
47,781726997-1,140,13:38:15.000
36,565233279-4,103,14:48:27.000
84,987797800-8,110,13:09:04.000
53,298156789-6,182,13:14:46.000
95,856875518-6,102,13:30:02.000
78,172740835-7,89,13:03:54.000
8,718179895-2,73,14:20:03.000
86,683528875-2,80,14:37:15.000
65,058407386-0,63,14:20:24.000
100,383733140-7,69,13:58:15.000
99,427366982-X,78,13:58:45.000
7,060699137-9,199,14:31:51.000
83,958305343-0,152,14:23:31.000
62,675844725-1,44,14:30:22.000
69,334050103-3,1,14:32:38.000
97,451395500-7,55,13:36:46.000
18,531113377-5,1,14:46:01.000
3,054926468-X,73,14:05:48.000
21,576977527-0,134,14:45:06.000
60,886140359-X,147,13:00:08.000
47,267697428-9,18,14:46:47.000
83,029950438-7,91,14:18:43.000
29,194073201-8,137,13:17:50.000
51,882231735-1,21,13:32:05.000
43,219780304-2,108,13:49:34.000
29,551688319-9,85,13:35:35.000
19,658894147-1,108,14:06:11.000
80,010323197-8,19,14:44:28.000
31,354031904-2,40,14:56:27.000
100,900280891-7,29,13:21:39.000
33,949903450-1,9,13:02:54.000
59,909121316-7,137,14:26:53.000
28,577065418-X,47,13:51:18.000
92,698492066-3,45,14:56:50.000
42,816014580-2,134,14:53:39.000
23,175214344-2,119,14:29:59.000
85,793192258-1,93,14:05:34.000
60,604393623-2,2,14:37:43.000
50,067865626-6,88,14:53:49.000
3,815300271-6,10,14:55:52.000
3,981899368-3,23,14:36:18.000
17,773816639-8,34,14:26:50.000
95,876449955-3,49,13:31:09.000
4,702616932-7,182,13:22:41.000
76,438171041-X,145,14:52:18.000
85,961270353-1,8,13:56:05.000
86,016619699-1,101,13:20:01.000
64,390001519-8,80,13:09:43.000
74,420352076-2,90,13:29:52.000
93,467189497-1,158,13:13:47.000
82,934975982-9,25,14:35:23.000
7,027992954-4,30,13:28:52.000
94,200155688-8,123,13:34:20.000
26,566469903-5,180,14:33:56.000
39,093784341-5,181,13:08:45.000
22,204697802-1,26,14:41:23.000
26,683643712-3,180,13:18:01.000
33,484992235-X,121,13:29:08.000
69,007071719-2,163,14:18:19.000
28,097731245-3,148,13:23:52.000
11,549884838-2,141,14:16:56.000
4,442435754-6,23,14:01:35.000
31,190201765-X,25,13:47:10.000
79,542033313-9,2,13:07:44.000
20,549951695-2,198,13:06:12.000
49,630232475-0,182,13:48:51.000
11,833525055-3,160,14:31:39.000
41,458457592-4,92,14:01:08.000
72,843081538-4,49,13:23:38.000
70,833389736-3,87,14:27:59.000
71,717777662-1,82,14:26:42.000
85,384956082-1,155,14:15:25.000
50,291811664-5,89,14:40:49.000
15,369064767-3,166,13:40:25.000
42,958881739-0,79,14:23:51.000
15,330037562-2,15,14:36:20.000
62,059209001-9,4,14:40:27.000
23,025867261-7,10,13:39:13.000
34,032975198-0,161,13:54:01.000
30,771027737-3,195,13:57:02.000
33,238140241-1,89,13:30:29.000
23,776849832-1,69,13:24:21.000
70,163622147-5,54,14:50:12.000
27,488768840-7,90,14:33:45.000
45,602328562-7,138,13:06:53.000
97,328445134-X,29,14:43:28.000
15,929531091-8,15,14:54:19.000
5,578524118-8,27,14:41:01.000
19,550825554-0,109,13:16:51.000
95,014289379-X,54,14:10:54.000
63,061647568-3,36,14:47:37.000
71,930498401-7,46,13:05:00.000
78,795198221-0,134,13:28:41.000
64,159952133-4,104,14:44:40.000
46,668379185-6,67,14:53:33.000
4,467556775-4,177,14:20:19.000
4,433913237-3,22,14:21:26.000
64,762486100-3,1,13:00:43.000
52,699638854-6,66,14:39:07.000
66,878635040-4,169,13:40:51.000
46,709941011-3,190,13:36:45.000
10,776484064-5,84,13:01:02.000
26,124442818-3,138,14:26:50.000
65,325226362-9,69,13:56:46.000
95,341140334-9,81,14:03:49.000
15,910426962-4,140,13:58:58.000
33,768912504-2,197,14:35:58.000
37,690899888-6,115,14:38:37.000
18,862970493-4,187,13:58:48.000
90,732990396-5,147,13:14:24.000
94,825422242-8,95,13:20:38.000
90,395090320-8,177,14:09:32.000
89,876795902-4,7,13:01:12.000
65,409092804-4,199,14:09:01.000
50,953455856-7,199,14:51:58.000
29,549435160-2,80,14:43:41.000
68,041612699-5,183,13:59:40.000
57,299402133-1,65,14:36:24.000
8,860847826-9,19,13:10:53.000
75,726375752-4,125,14:40:15.000
11,482560689-X,65,13:47:21.000
91,200041607-1,61,13:12:46.000
7,243670486-4,90,14:58:55.000
24,814861268-4,155,14:58:30.000
74,174694789-6,51,14:50:46.000
5,532344408-8,182,13:56:41.000
82,332870443-4,181,13:45:58.000
95,828364054-2,48,13:21:49.000
2,961492311-3,116,13:54:27.000
57,786034475-0,197,14:16:21.000
74,434295538-5,162,14:15:28.000
67,067627277-0,156,13:18:05.000
24,749568912-9,45,13:38:07.000
92,471091744-2,25,14:44:28.000
23,009197844-0,180,13:36:13.000
12,832303869-4,54,13:30:49.000
27,466807296-6,86,14:57:58.000
61,071522898-6,4,13:50:25.000
87,669497226-1,158,13:13:56.000
60,125006313-2,15,14:10:25.000
97,725983186-3,49,13:19:53.000
73,379143694-5,153,13:42:19.000
27,829934652-5,21,14:54:37.000
100,929833228-9,146,13:42:41.000
45,119726018-8,79,14:29:23.000
57,764818357-9,74,13:19:24.000
88,630099997-1,140,14:53:34.000
58,879952510-0,144,13:06:04.000
35,001086920-4,160,14:49:28.000
91,921078420-0,3,13:22:22.000
38,672910337-X,195,13:52:59.000
6,751972031-4,10,14:31:14.000
74,274887338-6,119,13:02:45.000
96,752126394-4,145,14:06:35.000
84,815125948-5,179,13:21:00.000
58,896254807-0,48,13:08:03.000
4,940769111-X,112,14:30:37.000
8,919509626-4,29,13:46:42.000
39,556163012-1,170,13:41:20.000
55,122224736-4,60,13:07:14.000
